Time,RX Data Rate,TX Data Rate,Disk Writes,Disk Capacity
5,5000,5000,75.87,45970
12,10000,10000,75.60,45970
18,14000,14000,74.98,45970
24,16000,16000,74.50,45970
30,18000,18000,73.83,45970
37,21000,21000,73.68,45970
43,22000,21000,73.29,45970
49,23000,23000,73.49,45970
55,24000,24000,73.03,45970
60,25000,25000,73.34,45953
66,35000,35000,194.48,45729
72,41000,41000,271.35,45729
78,40000,40000,417.27,45472
84,36000,35000,567.23,45473
89,33000,33000,718.94,44959
94,30000,30000,865.15,44961
100,28000,28000,1000.58,44961
105,27000,27000,1144.00,44961
110,25000,25000,1280.61,44961
115,24000,24000,1349.62,44961
121,28000,27000,1567.38,43937
127,37000,37000,1632.49,43937
133,46000,46000,1821.35,43937
139,47000,47000,1996.38,43937
146,43000,43000,2126.16,43937
152,40000,40000,2282.35,43937
158,37000,37000,2420.47,43937
165,35000,35000,2642.73,43937
171,34000,34000,2685.50,43937
177,32000,32000,2899.69,41889
183,34000,34000,3075.04,41889
188,43000,43000,3090.79,41889
194,53000,53000,3317.11,41889
199,57000,57000,3336.18,41889
204,52000,52000,3553.04,41889
209,50000,50000,3533.85,41889
214,49000,49000,3661.16,41889
220,49000,49000,3765.15,41889
225,50000,50000,3853.88,41889
230,50000,50000,4003.68,41889
236,51000,51000,4090.14,41889
242,49000,49000,4218.62,41889
248,61000,61000,4334.76,41889
254,67000,67000,4475.36,41889
261,62000,62000,4641.14,41889
267,60000,60000,4829.31,41889
273,55000,55000,4858.26,41889
280,54000,54000,5040.92,41889
286,50000,50000,5124.43,37777
292,50000,50000,5239.83,37793
297,49000,49000,5327.42,37793
303,60000,60000,5437.74,37793
308,68000,68000,5527.04,37793
313,67000,67000,5626.70,37793
318,63000,63000,5684.48,37793
323,60000,60000,5809.23,37793
329,58000,58000,5875.79,37793
334,54000,54000,6027.77,37793
340,53000,53000,6140.03,37793
346,53000,53000,6302.71,37793
352,53000,53000,6412.76,37793
358,59000,59000,6562.18,37793
364,67000,67000,6680.71,37793
371,67000,67000,6800.61,37793
378,62000,62000,6969.35,37793
384,60000,60000,7140.98,37793
390,59000,59000,7220.55,37793
396,56000,56000,7374.97,37793
401,55000,55000,7457.06,37793
407,55000,55000,7618.05,37793
412,57000,57000,7635.72,37793
417,65000,64000,7786.45,37793
423,69000,69000,7775.45,37793
428,68000,68000,7919.43,37793
433,63000,63000,7934.81,37793
438,59000,59000,8068.52,37793
443,56000,56000,8083.06,37793
449,52000,53000,8263.24,37793
455,49000,49000,8290.66,37793
461,47000,47000,8436.79,37793
466,46000,46000,8522.90,37793
473,47000,47000,8669.86,37793
479,54000,54000,8853.95,37793
486,61000,61000,8890.89,37793
492,57000,57000,9091.71,37793
498,51000,51000,9174.18,37793
504,47000,47000,9289.35,33697
510,43000,43000,9364.72,33697
516,41000,41000,9452.49,33697
521,39000,39000,9517.38,33697
526,38000,38000,9588.08,33697
531,37000,37000,9645.47,33697
537,47000,47000,9716.31,33697
542,60000,60000,9775.17,33697
547,59000,59000,9842.54,33697
553,59000,59000,9893.09,33697
559,59000,59000,9963.83,33697
565,58000,58000,9992.71,33697
571,56000,56000,10057.72,33697
576,56000,56000,10150.17,33697
582,57000,56000,10178.27,33697
589,59000,59000,10293.03,33697
596,68000,68000,10305.33,33697
602,70000,70000,10391.28,33697
608,66000,66000,10427.98,33697
615,58000,58000,10481.59,33697
621,52000,52000,10594.96,33697
627,48000,48000,10592.54,33697
632,45000,45000,10641.03,33697
637,43000,43000,10701.33,33697
643,41000,41000,10792.07,33697
649,40000,40000,10820.06,33697
655,46000,46000,10936.39,33697
660,55000,55000,10902.15,33697
666,57000,57000,10955.35,33697
673,53000,53000,11007.02,33697
678,50000,50000,11104.24,33697
684,46000,46000,11101.52,33697
690,45000,44000,11182.22,33697
696,43000,43000,11177.93,33697
703,41000,41000,11253.73,33697
708,39000,39000,11311.67,33697
714,46000,46000,11336.42,33697
720,50000,50000,11394.42,25472
726,45000,45000,11415.88,25505
732,40000,40000,11451.17,25505
738,35000,35000,11495.79,25505
743,32000,32000,11542.90,25505
749,30000,30000,11553.03,25505
755,28000,28000,11615.17,25505
761,26000,26000,11644.53,25505
767,29000,29000,11679.66,25505
773,38000,38000,11729.36,25505
779,46000,46000,11788.89,25505
785,40000,40000,11818.16,25505
790,36000,36000,11864.17,25505
796,32000,32000,11921.89,25505
802,29000,28000,11978.79,25505
808,26000,26000,12088.19,25505
813,25000,24000,12038.74,25505
819,23000,23000,12098.22,25505
825,24000,24000,12136.92,25505
831,37000,37000,12228.24,25505
837,49000,49000,12213.75,25505
842,61000,61000,12281.45,45970
849,61000,61000,12214.53,45970
856,56000,56000,12153.74,45970
862,54000,54000,12093.19,45970
868,52000,52000,12032.47,45970
875,49000,49000,11972.92,45970
881,48000,48000,11913.95,45970
887,47000,47000,11855.58,45970
893,53000,53000,11799.05,45970
900,61000,61000,11741.59,45970
